 Listener      RMSE       RMSE_whisper    AVG_Whisper    AVG_Actual       AVG_Pre       AVG_Match   
 L0200       22.87          25.06          -7.15          69.49          60.13          59.05     
 L0201       34.68          24.43         -13.83          72.76          53.81          55.96     
 L0202       32.45          22.66          -7.23          79.04          69.96          64.05     
 L0206       19.96          23.91          -2.18          75.16          68.06          65.62     
 L0208       26.08          21.58          -4.04          81.89          69.12          68.35     
 L0209       29.36          22.63          -6.86          80.55          64.40          62.72     
 L0212       28.63          26.96          -7.72          72.60          60.77          59.21     
 L0215       27.33          28.37          -4.03          65.74          61.21          56.67     
 L0216       32.18          21.60         -10.04          78.17          61.93          60.42     
 L0217       22.92          25.03          0.13           68.61          69.65          67.58     
 L0218       26.73          23.01          -9.52          73.92          61.11          60.14     
 L0219       31.96          28.67          -7.67          66.35          56.87          54.66     
 L0220       28.10          21.24          -6.40          79.74          65.90          64.08     
 L0221       26.17          19.56          -5.72          80.37          66.00          66.27     
 L0222       27.60          26.37          -3.74          68.60          63.63          62.92     
 L0224       26.46          29.32          -5.10          68.97          59.83          60.70     
 L0225       27.64          24.65          -5.11          75.55          62.22          60.80     
 L0227       34.58          46.63          -5.14          45.10          56.71          45.91     
 L0229       23.87          23.39          -4.93          68.91          64.08          62.65     
 L0231       35.45          22.40          -9.14          83.95          62.58          62.04     
 L0235       25.86          23.65          -2.70          77.28          72.27          70.00     
 L0236       32.18          25.15         -12.05          71.58          59.08          55.21     
 L0239       26.03          29.16          -7.66          62.52          56.66          54.96     
 L0240       22.12          19.17          -4.10          83.50          71.90          71.03     
 L0241       27.81          28.56          -6.98          65.13          57.24          55.48     
 L0242       32.11          25.13          -9.76          68.24          52.69          52.72     
 L0243       30.55          23.14          -9.12          78.05          61.64          62.89     
